cycle,mode,tick_long_tripsmode
381,trip_ter,nil
381,trip_taxi,nil
382,trip_tgv,nil
382,trip_ter,nil
382,trip_taxi,nil
383,trip_tgv,nil
383,trip_ter,nil
383,trip_taxi,nil
384,trip_tgv,nil
384,trip_ter,nil
384,trip_taxi,nil
385,trip_tgv,nil
385,trip_ter,nil
385,trip_taxi,nil
386,trip_tgv,nil
386,trip_ter,nil
386,trip_taxi,nil
387,trip_tgv,nil
387,trip_ter,nil
387,trip_taxi,nil
388,trip_tgv,nil
388,trip_ter,nil
388,trip_taxi,nil
389,trip_tgv,nil
389,trip_ter,nil
389,trip_taxi,nil
390,trip_tgv,nil
390,trip_ter,nil
390,trip_taxi,nil
391,trip_tgv,nil
391,trip_ter,nil
391,trip_taxi,nil
392,trip_tgv,nil
392,trip_ter,nil
392,trip_taxi,nil
393,trip_tgv,nil
393,trip_ter,nil
393,trip_taxi,nil
394,trip_tgv,nil
394,trip_ter,nil
394,trip_taxi,nil
395,trip_tgv,nil
395,trip_ter,nil
395,trip_taxi,nil
396,trip_tgv,nil
